"","term","estimate","std.error","statistic","p.value","mod","comparison","species","best.model","parameter.type"
"1","r_tref",0.000317111606202326,0.000909253452448895,0.348760409265699,0.728763365879604,"schoolfieldfull","daph_mort_species","daphnia","yes","mortality"
"2","e",-1.15224763283033,1.34978137247655,-0.853655011341731,0.397450196724585,"schoolfieldfull","daph_mort_species","daphnia","yes","mortality"
"3","el",-3.43860421891539,1.30066719540114,-2.64372333758666,0.010983002698041,"schoolfieldfull","daph_mort_species","daphnia","yes","mortality"
"4","tl",14.5945657011693,4.20868915852312,3.46772240748963,0.00110272246682441,"schoolfieldfull","daph_mort_species","daphnia","yes","mortality"
"5","eh",20,37.997941060831,0.526344308181908,0.601023491950017,"schoolfieldfull","daph_mort_species","daphnia","yes","mortality"
"6","th",30.8418254830234,6.78206387161682,4.54755750857752,3.57854808481423e-05,"schoolfieldfull","daph_mort_species","daphnia","yes","mortality"
"7","r_tref",0.00598601040145643,0.00157906702368797,3.79085264378196,0.000398412403774601,"schoolfieldhigh","daph_mort_species","daphnia","no","mortality"
"8","e",1.87809897181193,0.289241169358129,6.49319381462783,3.43769610221578e-08,"schoolfieldhigh","daph_mort_species","daphnia","no","mortality"
"9","eh",4.72827958482909,1.45165009002941,3.25717582860019,0.00200415992002046,"schoolfieldhigh","daph_mort_species","daphnia","no","mortality"
"10","th",34,0.936831333930339,36.2925521047187,4.2227352170975e-38,"schoolfieldhigh","daph_mort_species","daphnia","no","mortality"
"11","r_tref",1.62349748791776,0.087384111632542,18.5788635666941,2.22387352365343e-19,"schoolfieldfull","daph_shape_species","daphnia","no","shape"
"12","e",0,0.0886087020583178,0,1,"schoolfieldfull","daph_shape_species","daphnia","no","shape"
"13","el",4.87498903994691,5.23713315379057,0.930850695751063,0.358493568959024,"schoolfieldfull","daph_shape_species","daphnia","no","shape"
"14","tl",4,0.713371740493001,5.60717473506262,2.79071368328469e-06,"schoolfieldfull","daph_shape_species","daphnia","no","shape"
"15","eh",12.4368165331211,13.9941702761827,0.888714106493897,0.380401376772968,"schoolfieldfull","daph_shape_species","daphnia","no","shape"
"16","th",28,0.28117207505081,99.5831467080796,1.60421627101673e-43,"schoolfieldfull","daph_shape_species","daphnia","no","shape"
"17","r_tref",1.62349748791776,0.0600214456223829,27.0486235558501,1.62694532707111e-25,"schoolfieldhigh","daph_shape_species","daphnia","no","shape"
"18","e",0.0726719648299233,0.0300896716556086,2.41517972218808,0.0209318279344959,"schoolfieldhigh","daph_shape_species","daphnia","no","shape"
"19","eh",9.10143426313331,3.72639654544911,2.44242236491135,0.0196285371810413,"schoolfieldhigh","daph_shape_species","daphnia","no","shape"
"20","th",28,0.21913346758244,127.776009337625,1.9287584668172e-49,"schoolfieldhigh","daph_shape_species","daphnia","no","shape"
"21","(Intercept)",1.54252427686068,0.0112638462044407,136.944721089369,6.12284728152698e-54,"NULL","daph_shape_species","daphnia","yes","shape"
"22","r_tref",0.00730158490200066,0.00147639108369338,4.94556285434536,6.45054617164679e-06,"schoolfieldfull","dia_mort_species","diaphanosoma","yes","mortality"
"23","e",-1.44454244266502,0.0875791701821603,-16.49413256212,5.76741340828332e-24,"schoolfieldfull","dia_mort_species","diaphanosoma","yes","mortality"
"24","el",-2.13267177855549,0.0594527119225424,-35.8717325011856,3.0637358805623e-42,"schoolfieldfull","dia_mort_species","diaphanosoma","yes","mortality"
"25","tl",13.8129089623588,0.797918610471208,17.3111753267688,5.20544605080811e-25,"schoolfieldfull","dia_mort_species","diaphanosoma","yes","mortality"
"26","eh",20,40.5024179092507,0.493797680049912,0.623251934010612,"schoolfieldfull","dia_mort_species","diaphanosoma","yes","mortality"
"27","th",32.0665528271701,3.99726102971891,8.02213130159907,4.49230837252326e-11,"schoolfieldfull","dia_mort_species","diaphanosoma","yes","mortality"
"28","r_tref",0.0309703583724116,0.00293136707584827,10.5651587027699,1.70835046680112e-15,"schoolfieldlow","dia_mort_species","diaphanosoma","no","mortality"
"29","e",1.03372680536248,0.059486873384822,17.3773934742758,1.63730399746812e-25,"schoolfieldlow","dia_mort_species","diaphanosoma","no","mortality"
"30","el",2.24577996795835,0.0700677697900417,32.0515405968797,2.68450265461709e-40,"schoolfieldlow","dia_mort_species","diaphanosoma","no","mortality"
"31","tl",17.0884971078519,0.773191326147478,22.1012529886974,4.27165274510066e-31,"schoolfieldlow","dia_mort_species","diaphanosoma","no","mortality"
"32","r_tref",1.83563136069823,0.180545023521051,10.16716675375,9.17595634440292e-14,"schoolfieldhigh","dia_shape_species","diaphanosoma","yes","shape"
"33","e",0.325310058286196,0.0697497703755954,4.66395884222176,2.34573178840303e-05,"schoolfieldhigh","dia_shape_species","diaphanosoma","yes","shape"
"34","eh",1.18088537332578,0.23263331471476,5.07616621795422,5.710965547741e-06,"schoolfieldhigh","dia_shape_species","diaphanosoma","yes","shape"
"35","th",34,2.98079562961869,11.4063505938344,1.59904534687686e-15,"schoolfieldhigh","dia_shape_species","diaphanosoma","yes","shape"
"36","(Intercept)",1.6628091097026,0.0276246655972751,60.1929136064045,1.78265143148065e-50,"null","dia_shape_species","diaphanosoma","no","shape"
"37","r_tref",1.9241561924,2.85049389710232,0.675025543592993,0.503358907814705,"schoolfieldfull","dia_shape_species","diaphanosoma","no","shape"
