species,replicate number,invade.mono,temperature,mesocosm ID,day1,day7,day11,day15,day19,day21,day25,day28,day30,day30.5,day32,day32.5,day35,day35.5,day37,day37.5,day39,day39.5,day42,day42.5,day45,day45.5,day47,day47.5,day52,day60,day61,day68,day69,day75,day76,day82,day83,
daphnia,4,dia invade,30,daph-meso-30-4,15,5,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
daphnia,5,dia invade,30,daph-meso-30-5,15,8,7,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
daphnia,6,dia invade,30,daph-meso-30-6,15,5,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
daphnia,4,dia invade,28,daph-meso-28-4,15,40,35,10,39,74,56,96,,,90,,80,,,,135,,121,,98,,83,,67,,65,,35,,96,,171,
daphnia,5,dia invade,28,daph-meso-28-5,15,27,25,6,5,11,33,44,,,93,,69,,,,121,,113,,55,,62,,70,,38,,36,,39,,28,
daphnia,6,dia invade,28,daph-meso-28-6,15,33,29,29,39,45,27,67,,,59,,66,,,,101,,103,,70,,72,,84,,59,,27,,39,,28,
daphnia,4,dia invade,27,daph-meso-27-4,15,83,50,74,60,63,53,52,,,70,,76,,,,82,,92,,82,,85,,95,,88,,87,,124,,158,
daphnia,5,dia invade,27,daph-meso-27-5,15,32,35,58,52,89,75,114,,,95,,94,,,,69,,68,,83,,101,,113,,93,,75,,147,,190,
daphnia,6,dia invade,27,daph-meso-27-6,15,61,62,67,56,62,56,59,,,70,,80,,,,71,,85,,112,,111,,116,,79,,61,,147,,204,
daphnia,4,dia invade,26,daph-meso-26-4,15,84,74,66,69,65,62,66,,,67,,84,,,,125,,105,,97,,88,,,,,,,,,,,
daphnia,5,dia invade,26,daph-meso-26-5,15,44,42,57,58,64,47,55,,,78,,84,,,,128,,119,,102,,85,,,,,,,,,,,
daphnia,6,dia invade,26,daph-meso-26-6,15,97,47,72,61,62,53,59,,,70,,70,,,,109,,111,,100,,110,,,,,,,,,,,
daphnia,4,dia invade,24,daph-meso-24-4,15,86,76,61,59,68,57,54,,,67,,87,,,,122,,110,,84,,89,,,,,,,,,,,
daphnia,5,dia invade,24,daph-meso-24-5,15,14,15,26,99,140,97,89,,,93,,89,,,,85,,81,,68,,73,,,,,,,,,,,
daphnia,6,dia invade,24,daph-meso-24-6,15,119,72,57,96,100,63,58,,,51,,65,,,,135,,97,,72,,85,,,,,,,,,,,
daphnia,4,dia invade,20,daph-meso-20-4,15,61,66,61,70,69,74,66,,,66,,76,,,,116,,109,,114,,123,,,,,,,,,,,
daphnia,5,dia invade,20,daph-meso-20-5,15,36,40,59,96,103,117,128,,,101,,117,,,,114,,96,,89,,90,,,,,,,,,,,
daphnia,6,dia invade,20,daph-meso-20-6,15,59,68,67,68,68,63,60,,,62,,66,,,,81,,80,,96,,106,,,,,,,,,,,
diaphanosoma,4,dia invade,30,daph-meso-30-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaphanosoma,5,dia invade,30,daph-meso-30-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaphanosoma,6,dia invade,30,daph-meso-30-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diaphanosoma,4,dia invade,28,daph-meso-28-4,,,,,,,,3,3,,1,,2,,,,5,,4,,5,,4,,3,,3,,8,,8,,24,
diaphanosoma,5,dia invade,28,daph-meso-28-5,,,,,,,,3,1,,1,,6,,,,9,,41,,83,,112,,99,,103,,157,,344,,487,
diaphanosoma,6,dia invade,28,daph-meso-28-6,,,,,,,,3,3,,2,,6,,,,3,,15,,33,,46,,27,,52,,91,,316,,660,
diaphanosoma,4,dia invade,27,daph-meso-27-4,,,,,,,,3,1,,0,3,1,,,,2,,1,,1,,5,,2,,4,,2,,0,,0,
diaphanosoma,5,dia invade,27,daph-meso-27-5,,,,,,,,3,2,,3,,2,,,,2,,1,,1,,0,3,1,,1,,3,,2,,1,
diaphanosoma,6,dia invade,27,daph-meso-27-6,,,,,,,,3,1,,2,,3,,,,3,,16,,21,,36,,47,,21,,23,,18,,2,
diaphanosoma,4,dia invade,26,daph-meso-26-4,,,,,,,,3,0,3,0,3,1,,,,0,3,0,3,1,,1,,,,,,,,,,,
diaphanosoma,5,dia invade,26,daph-meso-26-5,,,,,,,,3,1,,1,,2,,,,2,,0,3,0,3,2,,,,,,,,,,,
diaphanosoma,6,dia invade,26,daph-meso-26-6,,,,,,,,3,2,,2,,1,,,,8,,3,,3,,3,,,,,,,,,,,
diaphanosoma,4,dia invade,24,daph-meso-24-4,,,,,,,,3,0,3,3,,2,,,,4,,2,,2,,1,,,,,,,,,,,
diaphanosoma,5,dia invade,24,daph-meso-24-5,,,,,,,,3,1,,1,,2,,,,1,,0,3,0,3,0,3,,,,,,,,,,
diaphanosoma,6,dia invade,24,daph-meso-24-6,,,,,,,,3,0,3,4,,2,,,,1,,0,3,1,,0,3,,,,,,,,,,
diaphanosoma,4,dia invade,20,daph-meso-20-4,,,,,,,,3,1,,5,,2,,,,1,,2,,2,,2,,,,,,,,,,,
diaphanosoma,5,dia invade,20,daph-meso-20-5,,,,,,,,3,0,3,3,,0,3,,,1,,0,3,0,3,0,3,,,,,,,,,,
diaphanosoma,6,dia invade,20,daph-meso-20-6,,,,,,,,3,0,3,1,,1,,,,2,,2,,2,,3,,,,,,,,,,,
diaphanosoma,4,daph invade,20,dia-meso-20-4,15,28,48,71,166,205,354,433,,,460,,372,,,,341,,240,,158,,160,,109,130,,82,,231,,175,,
diaphanosoma,5,daph invade,20,dia-meso-20-5,15,17,38,41,95,84,97,130,,,215,,220,,,,236,,127,,182,,129,,128,107,,70,,133,,190,,
diaphanosoma,6,daph invade,20,dia-meso-20-6,15,12,20,42,79,72,138,171,,,204,,185,,,,212,,146,,122,,132,,101,117,,99,,137,,121,,
diaphanosoma,4,daph invade,24,dia-meso-24-4,15,44,128,324,448,445,417,441,,,341,,370,,,,312,,212,,141,,116,,105,134,,118,,146,,192,,
diaphanosoma,5,daph invade,24,dia-meso-24-5,15,80,255,417,511,385,388,306,,,366,,271,,,,211,,182,,124,,145,,104,130,,80,,82,,19,,
diaphanosoma,6,daph invade,24,dia-meso-24-6,15,85,221,380,575,482,333,325,,,393,,302,,,,245,,153,,105,,102,,77,49,,56,,41,,21,,
diaphanosoma,4,daph invade,26,dia-meso-26-4,15,122,269,491,420,325,265,324,,,398,,328,,,,281,,151,,125,,73,,58,40,,36,,24,,4,,
diaphanosoma,5,daph invade,26,dia-meso-26-5,15,9,4,41,150,267,291,301,,,333,,318,,,,245,,182,,171,,111,,100,38,,46,,18,,1,,
diaphanosoma,6,daph invade,26,dia-meso-26-6,15,75,168,434,409,285,281,270,,,284,,337,,,,303,,174,,106,,95,,54,28,,27,,43,,8,,
diaphanosoma,4,daph invade,27,dia-meso-27-4,15,192,415,374,438,272,298,335,,,301,,267,,,,207,,197,,143,,88,,60,41,,63,,17,,62,,
diaphanosoma,5,daph invade,27,dia-meso-27-5,15,84,201,435,412,251,282,270,,,290,,344,,,,241,,183,,137,,128,,76,56,,53,,48,,35,,
diaphanosoma,6,daph invade,27,dia-meso-27-6,15,101,198,481,457,301,247,283,,,293,,291,,,,248,,236,,234,,228,,144,137,,136,,162,,137,,
diaphanosoma,4,daph invade,28,dia-meso-28-4,15,251,399,343,354,293,309,338,,,358,,390,,,,210,,258,,191,,155,,142,123,,141,,75,,95,,
diaphanosoma,5,daph invade,28,dia-meso-28-5,15,167,321,402,343,332,257,313,,,294,,248,,,,190,,218,,267,,237,,181,203,,167,,413,,452,,
diaphanosoma,6,daph invade,28,dia-meso-28-6,15,120,351,409,330,294,244,361,,,327,,312,,,,173,,221,,192,,194,,146,181,,156,,225,,204,,
diaphanosoma,4,daph invade,30,dia-meso-30-4,15,187,434,458,369,261,227,258,,,370,,405,,,,175,,211,,231,,220,,,,,,,,,,,
diaphanosoma,5,daph invade,30,dia-meso-30-5,15,96,257,348,240,290,238,276,,,289,,257,,,,220,,250,,256,,236,,,,,,,,,,,
diaphanosoma,6,daph invade,30,dia-meso-30-6,15,169,277,436,311,250,269,227,,,290,,343,,,,250,,212,,179,,215,,,,,,,,,,,
daphnia,4,daph invade,20,dia-meso-20-4,,,,,,,,3,3,,3,,9,,27,,57,,62,,67,,58,,95,56,,45,,91,,236,,
daphnia,5,daph invade,20,dia-meso-20-5,,,,,,,,3,2,,3,,10,,10,,23,,34,,70,,86,,76,52,,46,,88,,139,,
daphnia,6,daph invade,20,dia-meso-20-6,,,,,,,,3,3,,3,,9,,13,,32,,82,,105,,101,,77,69,,43,,90,,248,,
daphnia,4,daph invade,24,dia-meso-24-4,,,,,,,,3,1,,1,,10,,16,,21,,49,,89,,97,,83,60,,54,,111,,155,,
daphnia,5,daph invade,24,dia-meso-24-5,,,,,,,,3,2,,2,,14,,18,,36,,46,,71,,73,,100,82,,78,,94,,144,,
daphnia,6,daph invade,24,dia-meso-24-6,,,,,,,,3,3,,3,,15,,21,,43,,71,,63,,87,,83,69,,74,,105,,158,,
daphnia,4,daph invade,26,dia-meso-26-4,,,,,,,,3,3,,3,,11,,41,,53,,64,,84,,102,,167,83,,92,,225,,288,,
daphnia,5,daph invade,26,dia-meso-26-5,,,,,,,,3,2,,2,,9,,38,,65,,49,,59,,92,,174,80,,75,,213,,275,,
daphnia,6,daph invade,26,dia-meso-26-6,,,,,,,,3,2,,3,,5,,18,,51,,78,,82,,86,,155,83,,82,,219,,239,,
daphnia,4,daph invade,27,dia-meso-27-4,,,,,,,,3,3,,3,,6,,30,,36,,42,,61,,71,,97,61,,68,,165,,216,,
daphnia,5,daph invade,27,dia-meso-27-5,,,,,,,,3,3,,3,,5,,8,,21,,52,,90,,92,,78,61,,49,,162,,204,,
daphnia,6,daph invade,27,dia-meso-27-6,,,,,,,,3,2,,2,,1,,0,3,6,,17,,28,,34,,54,48,,44,,139,,104,,
daphnia,4,daph invade,28,dia-meso-28-4,,,,,,,,3,3,,2,,2,,2,,10,,21,,32,,85,,69,54,,28,,56,,78,,
daphnia,5,daph invade,28,dia-meso-28-5,,,,,,,,3,2,,3,,3,,5,,5,,5,,7,,16,,23,30,,21,,34,,62,,
daphnia,6,daph invade,28,dia-meso-28-6,,,,,,,,3,3,,3,,3,,10,,11,,15,,18,,19,,41,28,,17,,88,,43,,
daphnia,4,daph invade,30,dia-meso-30-4,,,,,,,,3,3,,3,,3,,3,,3,,0,3,2,,1,,,,,,,,,,,
daphnia,5,daph invade,30,dia-meso-30-5,,,,,,,,3,2,,3,,2,,1,,1,,1,,0,3,2,,,,,,,,,,,
daphnia,6,daph invade,30,dia-meso-30-6,,,,,,,,3,1,,1,,0,3,2,,1,,1,,0,3,1,,,,,,,,,,,
diaphanosoma,1,monoculture,30,dia-meso-30-1,,,,,,,,3,3,,7,,33,,,,203,,243,,194,,167,,,,,,,,,,,
diaphanosoma,2,monoculture,30,dia-meso-30-2,,,,,,,,3,3,,9,,22,,,,111,,228,,206,,191,,,,,,,,,,,
diaphanosoma,3,monoculture,30,dia-meso-30-3,,,,,,,,3,2,,8,,50,,,,251,,403,,281,,221,,,,,,,,,,,
diaphanosoma,1,monoculture,28,dia-meso-28-1,,,,,,,,3,2,,2,,0,3,,,15,,62,,133,,297,,,,,,,,,,,
diaphanosoma,2,monoculture,28,dia-meso-28-2,,,,,,,,3,3,,9,,28,,,,132,,294,,260,,256,,,,,,,,,,,
diaphanosoma,3,monoculture,28,dia-meso-28-3,,,,,,,,3,3,,9,,18,,,,101,,332,,339,,220,,,,,,,,,,,
diaphanosoma,1,monoculture,27,dia-meso-27-1,,,,,,,,3,3,,8,,15,,,,135,,221,,205,,223,,,,,,,,,,,
diaphanosoma,2,monoculture,27,dia-meso-27-2,,,,,,,,3,3,,4,,29,,,,67,,164,,213,,244,,,,,,,,,,,
diaphanosoma,3,monoculture,27,dia-meso-27-3,,,,,,,,3,3,,7,,18,,,,41,,144,,192,,251,,,,,,,,,,,
diaphanosoma,1,monoculture,26,dia-meso-26-1,,,,,,,,3,2,,1,,1,,,,3,,6,,28,,52,,429,,,,,,,,,
